"standard_azul_11","exitable_azul_11","exitable_zing_17","standard_zing_17","exitable_temurin_17","standard_temurin_17"
198121660,206627054,165443768,160967998,175401164,180968198
198117001,218445789,168085017,160734124,176013281,174690351
198037470,206976816,172034767,161602659,175867836,174181399
203583365,207398401,174634587,161961469,177160296,174770523
197691977,207000960,171437348,161696266,175122949,174551037
197212431,202550410,172685626,164227732,175584381,174002911
192568563,195475548,171525465,162079010,181974138,173889016
188945343,199746841,172764375,166824739,175896850,173281007
209449022,195935949,235504011,167230938,177559621,173778618
305458895,195172586,253973703,167952264,178189110,178492057
312949084,194847192,166890732,166611525,178331298,172885289
284778431,206056986,166847160,294787191,176864669,173819164
185409930,194367275,167679502,185353170,177392195,172561347
185841846,195359850,163835322,160473699,252135336,173437192
186386556,223221266,163786069,160119928,301032784,173080358
186321343,394416436,165356906,161881786,249164165,173191747
196807635,429181459,164349373,160292054,177583697,175569693
198046376,222560777,164983080,161793658,179381232,174295995
203711787,207625981,164285633,159399993,177427622,175395664
199335023,208025838,164861952,161474302,177344355,181991081
199984691,211836259,164570682,160363609,176963116,268198130
197964893,207138570,163915072,160436407,176347182,291998547
198122000,206873941,165252249,161506464,176909354,231267433
198368897,206724749,164243834,160584888,180762791,174479232
198952400,206721974,165016945,162445330,175304984,174593007
197999458,207954643,165838867,159625279,174866095,175189334
198308422,207162967,166344983,160651923,175263976,174391856
198290408,206369247,164663518,161486634,175071162,180659944
197796685,207530993,165351207,160393985,175386768,173631610
197176813,201184679,164260567,161456437,176174817,173599980
192875282,196174139,164398908,159707946,176073706,173732801
189215293,200346976,165617630,162024551,175894678,174008992
189425981,195015079,163660734,160640070,182663361,173390323
187661757,207543567,164685961,160378775,178354293,172682846
192018412,194843133,165269022,161594738,177737207,172729314
208636305,193865627,164129730,160283955,177020053,172649614
304796662,193875094,165025723,161491090,176927439,178486958
223007261,194397511,163660454,160708248,177367039,173823052
185637750,193683793,164443533,162398840,177102209,173278011
185748731,203895392,163974387,160386318,222086016,173387909
196877968,215525331,164463311,160515853,300418055,175383501
203664647,439871062,165172039,161170052,282228824,174485894
198845797,429177322,165945790,160443967,176680281,175127507
198507248,253378811,165090274,161070984,176362251,174500332
